"id","timestamp","sensor_id","traversed"
"e6e14ce2-0114-4614-ae6e-072c2e1dd6bd","2024-12-04 10:01:52.581376+00","D80C",1
"007b7d4a-0327-4ab1-b016-07179b8818b2","2024-12-04 10:18:12.847174+00","D80C",1
"cba3c95c-21e8-4d01-92f8-c51d3aa169a1","2024-12-04 10:18:22.854787+00","D80C",1
"e3a53ca5-9efb-4e0e-9769-05f1dbb15ec3","2024-12-04 10:21:42.916105+00","D80C",1
"55149ce0-e03e-4a05-ac63-556fa0c9e444","2024-12-04 10:22:42.935981+00","D80C",1
"ae28b214-1393-43a3-a601-1f48c79675aa","2024-12-04 10:23:52.959697+00","D80C",1
"45b299bc-81b7-481a-ab50-5b541e3f193b","2024-12-04 10:24:22.977636+00","D80C",1
"fd050341-7af1-4844-9495-3a8cefa5d75d","2024-12-04 10:24:47.990913+00","D80C",1
"e2a1d215-b96e-4ac3-ae42-896d34ed3738","2024-12-04 14:09:51.880586+00","D80C",1
"7faebeaf-b069-4beb-9868-7e3f3b460270","2024-12-04 14:09:56.888177+00","D80C",2
"06e3fb0f-3aeb-4f39-9bee-ec9326b74d1f","2024-12-04 14:26:57.170893+00","D80C",1
"78f48065-9c1a-453f-a6fe-7bb034381cbf","2024-12-04 14:33:22.286023+00","D80C",1
"0b6c2840-fee4-49e0-b610-38a8392fb113","2024-12-04 14:41:12.458635+00","D80C",2
"a6013be4-572f-415a-84fa-267de0381eb1","2024-12-04 14:42:07.481606+00","D80C",1
"f8d32529-ad77-4af0-947e-7797edcfcb76","2024-12-04 14:58:52.789723+00","D80C",1
"42c491fd-5571-4991-b222-9053a9454f80","2024-12-04 14:59:27.812156+00","D80C",1
"c8557929-fb11-424c-9ba7-f762b6e4348e","2024-12-04 15:08:58.022825+00","D80C",1
"d8350bec-f310-4816-aa13-800346f576dc","2024-12-04 15:09:38.039196+00","D80C",1
"86208e77-df74-4450-a8e4-ff3333d0ca1d","2024-12-04 15:36:53.478781+00","D80C",1
"f6601a28-be98-419e-a45b-3d74c0b38c83","2024-12-04 15:38:48.52025+00","D80C",1
"bb713959-cdbd-4a11-a46b-8950af1df24a","2024-12-04 15:39:08.531274+00","D80C",1
"8a0539dc-8de9-498c-972f-7614595c08ec","2024-12-04 15:39:13.538528+00","D80C",1
"8f23d812-b681-4945-baef-06d6fad26552","2024-12-04 15:42:33.60012+00","D80C",1
"540212da-1dbd-4e87-98f8-e871eef0ca9e","2024-12-04 16:06:59.501991+00","D80C",1
"4f7462f9-5eef-4028-8eda-14dd98d4832c","2024-12-04 16:07:04.512865+00","D80C",1
"0fdf101e-1e92-403d-848c-9a3521565fe0","2024-12-04 16:08:59.557592+00","D80C",1
"ed5cfb3b-b8c9-43b5-9a09-c6202fd89474","2024-12-04 16:12:49.623896+00","D80C",1
"afecad7b-210d-4e23-8d51-65d31b2bfad7","2024-12-04 17:01:30.394112+00","D80C",1
"4ad987d4-faf2-4dad-b223-f4d0d9c6a7be","2024-12-04 17:07:15.496834+00","D80C",1
"8ccee0b4-a0c4-4d5f-9c8b-55777bd35582","2024-12-04 17:08:00.513992+00","D80C",1
"d97b7827-edd5-46d5-a2b8-d612e2ccb64e","2024-12-04 17:21:25.735497+00","D80C",1
"e310f9fe-fd9c-440b-bf34-e2aab5eeff8d","2024-12-04 17:22:35.762257+00","D80C",1
"53924c3e-afb2-4b11-9630-57aa3ec19f5f","2024-12-04 17:22:40.771158+00","D80C",2
"318d9059-1179-44e5-a1ca-c0d65cac5d61","2024-12-04 17:28:35.871946+00","D80C",1
"d367279d-9dc8-4394-810d-d564a727ee16","2024-12-04 17:29:45.898612+00","D80C",1
"a12d4a41-c97b-4e32-bea6-16ade8928aa0","2024-12-04 17:29:50.907728+00","D80C",1
"6dee2567-41d9-43f2-919d-faad78d3a660","2024-12-04 17:36:31.00944+00","D80C",1
"8cbaa31f-d579-42a8-a8fa-c7b33170f187","2024-12-04 17:38:56.068765+00","D80C",1
"9590eae0-5cba-4a8d-87f7-5e057780a726","2024-12-04 17:39:06.076771+00","D80C",1
"1507ff08-47b0-4b60-96ca-412d26c0ed2d","2024-12-04 17:39:11.084371+00","D80C",1
"25af146d-7649-4619-8cf6-e93077f2a2f2","2024-12-04 17:39:21.092776+00","D80C",1
"c1062d2e-0293-4fb4-ae15-e00df7485a92","2024-12-04 17:49:06.207248+00","D80C",2
"b2811929-96eb-4f62-88eb-0bafa4cb0204","2024-12-04 17:49:36.219999+00","D80C",1
"b106cd24-ffc1-4e7f-9bc5-ece876123355","2024-12-04 17:49:51.228342+00","D80C",1
"a9290a8f-ba1c-4419-8bf4-c163a62e8094","2024-12-04 17:49:56.234867+00","D80C",3
"26dba13a-f9ba-4b1a-a5e1-0c21dde685fc","2024-12-04 17:58:46.331787+00","D80C",1
"51018c6c-4fbc-4df2-8ebe-ac514e6c5a19","2024-12-04 18:00:46.356503+00","D80C",1
"0ae8a182-35c9-4557-a931-aecd320b13de","2024-12-04 18:16:31.519024+00","D80C",1
"3fc9e20b-a992-41e6-b14a-266101206de5","2024-12-04 18:16:36.526916+00","D80C",1
"9bd6fb55-23f2-4df7-8127-5e6eff87fdc7","2024-12-04 18:16:41.534865+00","D80C",1
"302aba91-1cc6-46e8-a78e-af379270f17b","2024-12-04 18:19:31.569917+00","D80C",2
"1f877420-c270-497b-b572-3ff2d1bc984d","2024-12-04 18:27:11.657638+00","D80C",1
"a6904280-1097-4083-8257-84136f8841e9","2024-12-04 18:27:31.667348+00","D80C",1
"e0c6da72-830a-4c62-94fe-3f1ec778e4c8","2024-12-04 18:29:36.697556+00","D80C",1
"de27dc38-c001-44ac-825e-ff42fa299609","2024-12-04 18:32:06.729596+00","D80C",2
"671a7ce1-751f-445c-98a1-1ad993608f7e","2024-12-04 18:33:26.752166+00","D80C",1
"31763916-6d57-48ae-b6fe-b198421cdeb5","2024-12-04 18:34:46.774136+00","D80C",1
"4102ddd1-c508-4694-a6ed-254a1bf50c20","2024-12-04 18:37:46.821563+00","D80C",1
"1c8504a0-bb88-43b6-8ae0-0ab807d2f7fe","2024-12-04 18:38:41.836603+00","D80C",1
"bcc9ee2a-d571-49b8-8fa8-2d233a3ec2b1","2024-12-04 18:38:51.846146+00","D80C",1
"96bf1302-bb00-444d-bd7f-1eb39b0e4267","2024-12-04 18:38:56.854339+00","D80C",1
"c1da1b60-158f-4df4-bbf4-dc9149d27f7c","2024-12-04 18:39:01.861059+00","D80C",1
"2bbca6cf-dfbc-49c2-8d1c-aae58b28456d","2024-12-04 19:03:12.241515+00","D80C",3
"04938bdd-3b04-4a7c-8851-61c50f413d40","2024-12-04 19:03:32.252107+00","D80C",1
"b9b0e39a-e03c-4ab2-a853-4e2f40f44134","2024-12-04 19:03:37.260406+00","D80C",1
"a020f956-2c5f-4a69-a599-b25d97268827","2024-12-04 19:03:52.274761+00","D80C",1
"ca0fd439-2004-4e2e-974e-4d1b7d9d565b","2024-12-05 04:47:31.709673+00","D80C",1
