id,timestamp,sensor_id,internal_temperature,free_memory,rssi,uptime,last_boot_reason
21e3c336-ba82-43ed-af71-d7299e00f79d,2024-12-04 08:57:29.407316+00,D80C,25.6,261984,-76,31,1
bc8e849e-f97b-4748-a74d-e31ffea2a971,2024-12-04 09:04:35.03116+00,D87C,38.400002,259788,-62,31,1
e2e31641-0ee3-4369-b29e-907a8e9238ef,2024-12-04 09:05:05.411708+00,D87C,38.400002,258680,-64,61,1
81d473bd-ab1e-4434-9546-3b30ce81bc53,2024-12-04 09:05:35.291563+00,D87C,37.400002,258684,-66,91,1
9ee8abae-c04d-4731-b0bf-72243d7e229f,2024-12-04 09:06:05.291509+00,D87C,39.400002,258676,-62,121,1
b6b2abd6-6a75-4559-8034-84324e57ed80,2024-12-04 09:06:35.237383+00,D87C,39.400002,260228,-62,151,1
7c36e09d-eba8-4dfe-905e-27c268dbf3e4,2024-12-04 09:07:05.362855+00,D87C,39.400002,259808,-64,181,1
e7e86482-8727-4e54-80aa-9c16c993389a,2024-12-04 09:07:35.49523+00,D87C,39.400002,259812,-64,212,1
dfa2df0a-0af6-4390-a853-6479edbf8c0c,2024-12-04 09:20:01.467699+00,D80C,29.6,262092,-35,31,1
0671a0d8-21f4-4021-9ca7-840d28fd8afb,2024-12-04 09:20:31.567879+00,D80C,30.6,261924,-35,61,1
be65a4ce-1b59-4fc5-badc-70683d932567,2024-12-04 09:21:01.691703+00,D80C,29.6,261948,-35,91,1
0067abb3-8561-4f7e-ad00-71914c2abd23,2024-12-04 09:21:31.816066+00,D80C,29.6,261980,-35,122,1
115dba2c-e8be-4ad6-92fb-e60570fd0b20,2024-12-04 09:22:01.951156+00,D80C,29.6,261972,-35,152,1
af63e32e-3bda-4b44-ac20-0b5d1f2dbc2d,2024-12-04 09:22:32.0665+00,D80C,29.6,261980,-35,182,1
2b4896bc-396a-421c-a8da-daad313eec7a,2024-12-04 09:23:02.191023+00,D80C,29.6,261980,-35,212,1
ba9a663a-cbf4-49f0-b38c-28cb872ce7d7,2024-12-04 09:23:32.338089+00,D80C,30.6,261980,-35,242,1
d90a6143-1b73-40bc-844e-f23433a132d5,2024-12-04 09:24:02.31548+00,D80C,30.6,261980,-35,272,1
f0aee870-0062-4e84-903d-0a6fd4546b36,2024-12-04 09:24:32.44176+00,D80C,30.6,261980,-35,302,1
98e69e92-b744-4781-b7f4-4e0d36ebd47c,2024-12-04 09:25:02.564635+00,D80C,30.6,261972,-35,332,1
08b1d031-a900-4ec7-ba79-9f284551c3a5,2024-12-04 09:25:32.690074+00,D80C,30.6,261976,-35,362,1
b05b3eb1-f244-4d38-bb7f-f2b180c7d4e5,2024-12-04 09:26:02.814984+00,D80C,31.6,261928,-35,393,1
d4e1affb-297a-409d-ae4f-c859f8620bd7,2024-12-04 09:26:32.940061+00,D80C,31.6,261964,-35,423,1
7e9cc385-87ed-48ce-83a2-de06c5ad01ae,2024-12-04 09:27:03.065653+00,D80C,31.6,261964,-35,453,1
6765c789-b242-494e-a4fa-c84d285552b4,2024-12-04 09:27:33.195141+00,D80C,31.6,261964,-35,483,1
54be0975-48a9-499f-8b45-efa0104d51dc,2024-12-04 09:28:03.315011+00,D80C,31.6,261964,-35,513,1
d8047acb-cf99-4a27-9b82-c5b430e56f6c,2024-12-04 09:28:33.441659+00,D80C,31.6,261964,-35,543,1
180f2f15-851a-4175-8067-aa24c5af4a00,2024-12-04 09:29:03.438181+00,D80C,33.599998,261928,-35,573,1
c4f812a7-4847-463d-9161-62035b52d046,2024-12-04 09:29:33.562679+00,D80C,32.599998,261964,-35,603,1
2d53d9ed-80ec-47a1-9d34-f7c75447101d,2024-12-04 09:30:03.562656+00,D80C,32.599998,261964,-35,633,1
20f7aa81-dd90-4b8b-b177-d649423622f8,2024-12-04 09:30:33.686125+00,D80C,32.599998,261964,-35,663,1
7dead7c5-9520-4b31-91fb-77c2afa6ed28,2024-12-04 09:31:03.811587+00,D80C,32.599998,261964,-35,694,1
09459bc6-0ff2-4bd3-81e0-f711f3488399,2024-12-04 09:31:33.954804+00,D80C,32.599998,261964,-35,724,1
27a57b9c-5516-4a49-83b1-fd223b29aad1,2024-12-04 09:32:03.936138+00,D80C,32.599998,261964,-35,754,1
c9005806-8742-4dfd-80e1-3ba9177c262d,2024-12-04 09:32:33.935606+00,D80C,33.599998,261928,-35,784,1
2831c348-ae95-4e8e-989e-fb856c7640e3,2024-12-04 09:33:04.060694+00,D80C,33.599998,261964,-35,814,1
25ace03a-169f-47d6-843a-2389cd88bda8,2024-12-04 09:33:34.184912+00,D80C,33.599998,261964,-35,844,1
227bafaf-8e17-4d82-808a-a9e274852c52,2024-12-04 09:34:04.185167+00,D80C,33.599998,261964,-35,874,1
8cddf33e-3ee2-4d5c-82eb-a7b6f54ccc07,2024-12-04 09:34:34.309191+00,D80C,33.599998,261964,-35,904,1
caf4e980-8532-4df1-aa1d-29f7c830d3af,2024-12-04 09:35:04.436152+00,D80C,33.599998,261964,-35,934,1
e28665af-52e4-41f9-a053-ba8a84bc1da8,2024-12-04 09:35:58.981496+00,D80C,33.599998,261952,-50,31,1
c1ac6e98-cacd-4d54-8d22-04d460d9eb4b,2024-12-04 09:36:28.974925+00,D80C,33.599998,261956,-49,61,1
b9971305-811f-4550-90d2-631fe720186b,2024-12-04 09:36:59.094474+00,D80C,34.599998,261956,-49,91,1
d5ecf6a8-8fb0-4d70-ae3e-d819e680a8cc,2024-12-04 09:37:29.220954+00,D80C,33.599998,261976,-49,121,1
a167e349-2e04-4273-ab00-c1f184792565,2024-12-04 09:37:59.345928+00,D80C,35.599998,261944,-49,152,1
a9f152da-85c9-4ce2-ab7c-899f99f6548b,2024-12-04 09:38:29.478398+00,D80C,34.599998,261980,-49,182,1
c1f9f5b5-8abc-40e4-bf45-1ed5caabd232,2024-12-04 09:38:59.468437+00,D80C,34.599998,261980,-49,212,1
516528d0-8fa4-4969-ad25-e892e3a10af5,2024-12-04 09:39:29.594577+00,D80C,34.599998,261976,-49,242,1
66e91f3c-6638-4ff2-a29d-c3f70a3caa16,2024-12-04 09:39:59.717404+00,D80C,34.599998,261976,-49,272,1
ce2dc255-63b6-42ab-861d-fa720e9b1ee9,2024-12-04 09:40:29.84197+00,D80C,34.599998,261972,-48,302,1
e8099e0c-1eef-4eda-bd18-ab1323450e83,2024-12-04 09:40:59.967495+00,D80C,34.599998,261980,-49,332,1
bc8782eb-ee3b-4121-9ea3-3ddeac2b17d8,2024-12-04 09:41:30.092058+00,D80C,34.599998,261976,-50,362,1
8b32d2e6-eb6f-41ba-856e-110d5244b0b1,2024-12-04 09:42:00.216574+00,D80C,34.599998,261980,-49,392,1
20e5fe88-937f-444d-b07d-578975655ddb,2024-12-04 09:42:30.223009+00,D80C,34.599998,261980,-49,422,1
e3cdc49a-de4e-4eff-9ce8-ec3bea1a9c20,2024-12-04 09:43:00.341895+00,D80C,34.599998,261980,-49,453,1
e06b35bb-c757-46e3-8c17-80ff04bba544,2024-12-04 09:43:30.342367+00,D80C,35.599998,261980,-49,483,1
3c69e1c4-a213-4035-aef7-baa1a9c37c91,2024-12-04 09:44:00.468499+00,D80C,35.599998,261980,-50,513,1
9a6e9517-0f9e-4b63-bd0f-6d8b1358795f,2024-12-04 09:44:30.590021+00,D80C,35.599998,261976,-51,543,1
bdd5c4c1-51d5-4325-852c-0e4fa6a22895,2024-12-04 09:45:00.715071+00,D80C,35.599998,261980,-50,573,1
