id,timestamp,sensor_id,internal_temperature,free_memory,rssi,uptime,last_boot_reason
19b6a1c0-c6fe-4b91-be02-86f1f868e1aa,2024-11-27 06:26:47.358277+00,D80C,43.599998,262020,-67,102035,4
56d33304-d813-47c6-912a-4382a422aa90,2024-11-27 06:27:17.478285+00,D80C,43.599998,262016,-70,102065,4
9758e4d9-75af-49b7-8bfd-bd16ef188786,2024-11-27 06:27:47.603381+00,D80C,43.599998,262024,-70,102095,4
b01873a9-d394-47bf-a292-d123c8a7b1ec,2024-11-27 06:28:17.727531+00,D80C,43.599998,262016,-68,102126,4
3bc29df6-6239-4abd-9e26-206bf22982fe,2024-11-27 06:28:47.852512+00,D80C,43.599998,262024,-71,102156,4
81a0740e-bb08-4927-9970-308a386b2ec7,2024-11-27 06:29:17.978517+00,D80C,43.599998,262016,-69,102186,4
63fc7ee4-e15e-4f82-a29f-5885eb625c85,2024-11-27 06:29:48.101701+00,D80C,43.599998,262024,-70,102216,4
92585ac5-e9ad-46b1-8e68-bcbb0f41cf46,2024-11-27 06:30:18.226434+00,D80C,43.599998,262016,-70,102246,4
bb08dd83-d1dc-4e9f-ae4e-9dc29aea766f,2024-11-27 06:30:48.351675+00,D80C,43.599998,262024,-70,102276,4
151c1590-3ae1-471b-b0b0-8ce3bbf4629f,2024-11-27 06:31:18.475834+00,D80C,43.599998,262016,-72,102306,4
97d5358e-f44d-415c-be03-e9f57a121776,2024-11-27 06:31:48.600752+00,D80C,43.599998,261984,-70,102336,4
2b7a77c3-f4c7-440c-a9f8-e91b1a170790,2024-11-27 06:32:18.726865+00,D80C,47.599998,261988,-70,102367,4
f8438e91-75d9-4e19-afc2-b3908a6b852b,2024-11-27 06:32:48.850943+00,D80C,43.599998,262020,-70,102397,4
425a4f85-218d-4d4d-8ee7-392d9c14a7be,2024-11-27 06:33:18.975994+00,D80C,43.599998,262016,-73,102427,4
2a01d45e-e3ae-41aa-8f1a-bbf50f851599,2024-11-27 06:33:49.100089+00,D80C,43.599998,262024,-70,102457,4
dd6c0407-7763-4763-ad61-e323efc5a003,2024-11-27 06:34:19.225261+00,D80C,43.599998,262016,-73,102487,4
cc5c5e38-a897-411e-a7c0-2ee82c651fbb,2024-11-27 06:34:49.3493+00,D80C,47.599998,261992,-70,102517,4
6850197d-f28e-4b3e-a6ac-02b25fd39d31,2024-11-27 06:35:19.355413+00,D80C,44.599998,262020,-73,102547,4
c06c6eda-d627-4c67-80e7-b4d7e4bdd631,2024-11-27 06:35:49.473846+00,D80C,43.599998,262024,-69,102577,4
f60e4cfb-4be3-4d7f-bbe8-a7d190b45242,2024-11-27 06:36:19.495884+00,D80C,43.599998,262020,-77,102607,4
80c2e917-5fdb-4e3b-83ad-7549c07b60a4,2024-11-27 06:36:49.598467+00,D80C,43.599998,262024,-70,102637,4
37c0b0f8-632e-46a2-936b-e638c38ad920,2024-11-27 06:37:19.745169+00,D80C,44.599998,260456,-67,102668,4
0b15d5d2-2742-427d-b088-b7a9a37f5d13,2024-11-27 06:37:49.722755+00,D80C,43.599998,262012,-70,102698,4
7fbe6ad0-e8a8-4a56-9df1-635cfdfa2512,2024-11-27 06:38:19.847732+00,D80C,43.599998,262016,-68,102728,4
b89dfc28-e993-40fc-a5d2-c1f94e9e9d4e,2024-11-27 06:38:49.850834+00,D80C,43.599998,262016,-70,102758,4
647d11ed-fd02-4e5c-a410-d49e4361143c,2024-11-27 06:39:19.971819+00,D80C,43.599998,262012,-70,102788,4
d83b9165-a669-4ed0-a2f0-b16cbea991a6,2024-11-27 06:39:49.971933+00,D80C,43.599998,262012,-79,102818,4
7e6e65fc-845c-4df2-b3eb-0762e7415c3f,2024-11-27 06:40:20.096527+00,D80C,44.599998,262016,-72,102848,4
c715831a-980b-4cbb-b50e-b54ca2721b1e,2024-11-27 06:40:50.222665+00,D80C,43.599998,262012,-72,102878,4
d5b6c969-c8bb-4101-af0a-f05b14a1fb66,2024-11-27 06:41:20.346198+00,D80C,43.599998,262016,-73,102908,4
cbadf3ee-340b-4e67-b499-f0653becdff1,2024-11-27 06:41:50.345878+00,D80C,43.599998,262016,-74,102938,4
32873751-b633-468d-b59a-674e6507431b,2024-11-27 06:42:20.346417+00,D80C,43.599998,262016,-71,102968,4
c790dfb6-3317-4b26-9aa3-e4f7426be60e,2024-11-27 06:42:50.494925+00,D80C,43.599998,262012,-73,102998,4
4ad1495b-397b-4186-bfa6-f4dec09b7259,2024-11-27 06:43:20.595463+00,D80C,43.599998,262016,-71,103028,4
