id,timestamp,sensor_id,internal_temperature,free_memory,rssi,uptime,last_boot_reason
4fadae16-d4fe-4fdc-9fd9-a2661189963d,2024-12-06 03:37:38.395276+00,D80C,41.599998,261984,-53,633,1
cacc94dc-2885-4a7a-a363-00285d69122c,2024-12-06 03:38:08.394465+00,D80C,41.599998,261984,-53,663,1
3dd36785-45e5-4980-90b2-88f0b0a41aed,2024-12-06 03:38:38.52+00,D80C,40.599998,261972,-53,693,1
ab2482c2-c651-4675-ae97-52c8a1659464,2024-12-06 03:39:34.233749+00,D80C,40.599998,261948,-51,31,1
ddc873ed-0cf3-41e2-ab15-8ac0f5e82e0c,2024-12-06 03:40:04.358373+00,D80C,40.599998,261952,-53,61,1
00079e9e-a001-49f0-bb3e-738e3f09554d,2024-12-06 03:40:34.482872+00,D80C,41.599998,261952,-53,91,1
cc564837-ad5e-4522-aa27-069689c2a99d,2024-12-06 03:41:04.625451+00,D80C,41.599998,261972,-53,122,1
82c85e01-b482-407d-b478-176c7b50a041,2024-12-06 03:41:34.73241+00,D80C,41.599998,261964,-53,152,1
68278e4a-eb95-4f7f-85b9-d6ff39dcf972,2024-12-06 03:42:04.736427+00,D80C,42.599998,261972,-53,182,1
2346bd8e-2850-4de2-8c99-0443b375c049,2024-12-06 03:42:34.860653+00,D80C,40.599998,261964,-53,212,1
9a15c800-a0a1-41c8-b1fb-ee8ef080863d,2024-12-06 03:43:04.984854+00,D80C,40.599998,261972,-53,242,1
5f01d937-a978-42e9-899c-7e64a79e4342,2024-12-06 03:43:35.106376+00,D80C,41.599998,261972,-53,272,1
491cdc98-7db8-42b5-ad20-0faa64cbd017,2024-12-06 03:44:05.105917+00,D80C,40.599998,261964,-53,302,1
18650aca-a7bf-4df6-95d5-fdaaa7497395,2024-12-06 03:44:35.237907+00,D80C,40.599998,261972,-53,332,1
bd0e0e2e-3d88-44f3-b4e0-e36f3cb4e9fb,2024-12-06 03:45:05.363109+00,D80C,41.599998,261964,-51,362,1
f8edda91-0375-4d3d-ad70-9f65957904f3,2024-12-06 03:45:35.355226+00,D80C,40.599998,261972,-53,392,1
d844557b-8a36-436f-8eba-f12cc98da57f,2024-12-06 03:46:05.481292+00,D80C,40.599998,261964,-53,422,1
62d46ea4-b629-4ea3-97e6-3cf634cb406a,2024-12-06 03:46:35.605435+00,D80C,41.599998,261924,-51,453,1
5ed8effa-21d4-4f95-90d7-955ea707ce66,2024-12-06 03:47:05.607447+00,D80C,41.599998,261972,-51,483,1
36e81de8-c544-4d22-be24-e3f10362bfed,2024-12-06 03:47:35.728957+00,D80C,40.599998,261972,-52,513,1
3746f9ee-59ed-4beb-b23f-8ff70b010d29,2024-12-06 03:48:05.854414+00,D80C,40.599998,261964,-53,543,1
066bba07-5b37-4976-98bb-57c11cb4151f,2024-12-06 03:48:35.978495+00,D80C,40.599998,261972,-53,573,1
a001d5b9-9630-43df-8620-3201bfa9bbc8,2024-12-06 03:49:06.103545+00,D80C,40.599998,261964,-53,603,1
d894aa01-d362-494a-a86a-421570ac05b7,2024-12-06 03:49:36.102993+00,D80C,40.599998,261964,-53,633,1
1a1ce1a0-7249-4a1c-9fcf-fee18778d277,2024-12-06 03:50:06.106428+00,D80C,42.599998,261924,-53,663,1
7432b040-9386-4316-9935-05b35612dd05,2024-12-06 03:50:36.227498+00,D80C,40.599998,261972,-53,693,1
afb50879-b498-41ef-be10-6bde379d5c43,2024-12-06 03:51:06.354284+00,D80C,40.599998,261972,-53,723,1
eb866211-132a-407c-a0aa-f43b0761c66a,2024-12-06 03:51:36.476766+00,D80C,40.599998,261972,-53,753,1
539c1585-265a-4672-9f56-0281f115f2fb,2024-12-06 03:52:06.601259+00,D80C,40.599998,261972,-53,784,1
53068d20-362b-405e-8da7-05607bc50cd0,2024-12-06 03:52:36.601305+00,D80C,40.599998,261964,-53,814,1
6acab30d-4052-497d-83bc-fbc03d4cfa19,2024-12-06 03:53:06.601397+00,D80C,40.599998,261964,-53,844,1
0b854c4a-93c5-4d0c-b8c7-2c0f3a9fcd83,2024-12-06 03:53:36.725309+00,D80C,40.599998,261972,-53,874,1
a93bbeed-7dd4-4733-a25f-8a873d2e612f,2024-12-06 03:54:06.72634+00,D80C,40.599998,261972,-53,904,1
56faf0bd-8540-42bd-84c0-58731f437ad7,2024-12-06 03:54:36.855636+00,D80C,40.599998,261972,-53,934,1
1b93bd69-f761-4577-9bd4-e55b3c10258e,2024-12-06 03:55:06.974943+00,D80C,40.599998,261964,-53,964,1
30572525-f17f-4109-9c8e-f0045633c14f,2024-12-06 03:55:37.100263+00,D80C,40.599998,261964,-53,994,1
130f9006-e865-4288-9a4c-096fe0c8e2ed,2024-12-06 03:56:07.224413+00,D80C,40.599998,261964,-53,1024,1
05bbd473-0078-4e9f-92eb-acc0bd5f60e3,2024-12-06 03:56:37.349835+00,D80C,40.599998,261964,-53,1054,1
1583ea9c-a7ac-4316-bcf7-e3407bf0fe86,2024-12-06 03:57:07.348828+00,D80C,40.599998,261972,-53,1084,1
540f2fca-1bb9-4e76-bd35-883a2e8673b2,2024-12-06 03:57:37.473868+00,D80C,40.599998,261964,-53,1114,1
9624240e-213e-4f3d-a989-0163354d1e31,2024-12-06 03:58:07.598323+00,D80C,40.599998,261964,-53,1145,1
3d1b4cf3-5a2c-4ee0-9d20-d532ee6a535b,2024-12-06 03:58:37.598373+00,D80C,40.599998,261972,-53,1175,1
70c600c8-affe-4269-82fe-8d6aeaef987e,2024-12-06 03:59:07.597891+00,D80C,40.599998,261972,-53,1205,1
9e45cc6f-4de4-4cbe-a1cc-4ef350764602,2024-12-06 03:59:37.722402+00,D80C,40.599998,261972,-53,1235,1
8ff81e26-755b-4ec0-9261-005e4e901c0f,2024-12-06 04:00:07.851436+00,D80C,40.599998,261964,-53,1265,1
36676d5a-92e6-48c3-9fa9-c98ac7067cb5,2024-12-06 04:00:37.846892+00,D80C,40.599998,261964,-53,1295,1
