"id","timestamp","sensor_id","traversed","entered","exited"
"3ca11d65-fc70-4790-86bf-6cf9d1106730","2024-12-09 10:42:53.823211+00","D80C",4,2,2
"b55582a6-992c-4951-aded-62332a1f6d69","2024-12-09 10:43:23.831417+00","D80C",3,2,1
"f303cb3e-5fb2-4e54-bbb6-0fd88688bbfa","2024-12-09 10:47:53.850782+00","D80C",2,1,1
"6ccbd428-8b1e-4bcf-b205-5dfd2ae3a306","2024-12-09 10:52:53.873073+00","D80C",1,1,0
"61e43508-0771-4d02-a3c6-a91042869224","2024-12-09 10:55:23.883832+00","D80C",1,0,1
"ba4e1b03-10eb-4ef1-888f-c60b7123643d","2024-12-09 10:57:53.903909+00","D80C",1,1,0
"87125d25-4745-424d-a7e2-64195a4528d4","2024-12-09 10:59:23.915153+00","D80C",2,1,1
"c0303c1a-f0fb-4091-9f55-a51ae16d3743","2024-12-09 11:02:23.93029+00","D80C",1,0,1
"d7560a35-ff5e-496b-9443-8f62b0d18d8c","2024-12-09 11:30:24.012966+00","D80C",3,2,1
"478d5e06-b846-4ba7-93d6-0715a7b36845","2024-12-09 11:30:54.021273+00","D80C",4,1,3
"4bc2df05-adf9-43b9-86d0-b0a68f584b58","2024-12-09 11:59:24.106868+00","D80C",1,1,0
"5020275f-0e23-44be-afba-e6025b91b4d3","2024-12-09 11:59:54.113717+00","D80C",1,0,1
"16cf13e9-f392-4075-986f-c15697d451e3","2024-12-09 12:02:54.129076+00","D80C",6,3,3
"34742227-b5e4-4360-bfaf-d89cfb5c9fc0","2024-12-09 12:10:24.156748+00","D80C",2,1,1
"a3c83395-efb5-46bd-837b-453a09d39f52","2024-12-09 12:11:24.167617+00","D80C",2,1,1
"7733cb81-b7c7-4298-a22f-04c190b3769a","2024-12-09 12:16:24.190806+00","D80C",1,1,0
"dbd97b46-1cd6-4f8e-bbc2-f37c762e5466","2024-12-09 12:16:54.199517+00","D80C",1,0,1
"8a7c20c1-76ff-41e0-89ef-afd0ed3e850e","2024-12-09 12:19:24.213914+00","D80C",1,1,0
"e90d4843-a6c6-4bf8-b2d2-725c2b73ed7c","2024-12-09 12:20:24.226675+00","D80C",1,0,1
"84ee7e24-1a5e-45be-965c-a55f9cc9ff64","2024-12-09 12:24:54.243327+00","D80C",2,1,1
"742b976d-e4f1-42f7-b087-b083e704c6f0","2024-12-09 12:37:24.287566+00","D80C",2,1,1
"d4db2d61-60d0-4d33-9801-e893aa2379d1","2024-12-09 12:38:24.298616+00","D80C",2,1,1
"863a10e0-c653-452a-8c82-03403540e6ba","2024-12-09 12:42:24.31779+00","D80C",1,1,0
"8e3ed99a-4ea4-42b6-b64c-ebefca631f7b","2024-12-09 12:44:54.328711+00","D80C",2,1,1
"9c63e4f1-89fc-4b99-9f4a-dbe7ed497242","2024-12-09 12:45:24.337388+00","D80C",1,0,1
"01822ad9-64f0-4c91-a7ef-c691b304fa67","2024-12-09 12:47:24.35349+00","D80C",1,1,0
"0a675081-c8d3-4186-9a5a-1dc5cbc4fad1","2024-12-09 12:49:24.367124+00","D80C",2,1,1
"ac36d7cf-310f-43f7-b715-c5341659c694","2024-12-09 12:49:54.375323+00","D80C",3,1,2
"5ba2f3bb-610e-4804-bc19-ffa17000a3a1","2024-12-09 12:50:24.382853+00","D80C",2,1,1
"240aa26d-9fda-491e-a40d-9571670f934b","2024-12-09 12:57:24.405785+00","D80C",1,1,0
"3da0f4c2-c4a0-488d-a918-1c77778b793e","2024-12-09 12:58:24.41759+00","D80C",1,0,1
"fb3dd639-5ae5-483e-8c0e-19a70842e186","2024-12-09 13:16:24.470736+00","D80C",1,1,0
"1b91cec4-a685-48c0-8110-5dc62b5c1670","2024-12-09 13:28:24.510724+00","D80C",1,0,1
"48ae6930-b675-4f5d-b1c4-988dce463586","2024-12-09 13:31:54.525709+00","D80C",1,1,0
"4d097a9b-cdf0-4664-9b60-4f6c84a73b85","2024-12-09 13:32:54.533481+00","D80C",2,1,1
"c80fa660-0ae2-4ca6-a6c0-0bb03f08df88","2024-12-09 13:33:24.541451+00","D80C",1,0,1
"42bb4c63-e44d-49e3-921d-982ad9339b44","2024-12-09 13:34:24.553097+00","D80C",1,1,0
"22acd081-6ab9-45a0-9dff-7a4d00735eaa","2024-12-09 13:36:24.5665+00","D80C",1,0,1
"178034ff-fe5e-4804-9125-fefb27b512b0","2024-12-09 14:04:54.658764+00","D80C",1,1,0
"336c70fb-81f4-4d62-a892-67f3d1a9f6de","2024-12-09 14:09:54.682877+00","D80C",1,0,1
"cc03bfbb-a61e-418d-8f23-eb9c9ea41bb7","2024-12-09 14:21:24.727707+00","D80C",2,2,0
"63d18a1c-af38-4e72-8764-5f9272c2ef99","2024-12-09 14:21:54.734871+00","D80C",5,2,3
"2c5a322c-dec9-4a45-8661-354bb1562846","2024-12-09 14:22:24.741804+00","D80C",7,3,4
"d8cca0d7-f01a-4734-9582-4d917f681b44","2024-12-09 14:22:54.748703+00","D80C",4,3,1
"94fdd353-0238-463e-8b21-1af265cf4d84","2024-12-09 14:23:24.756755+00","D80C",2,1,1
"5e9222b8-4fbf-4a48-8fef-dca639d55486","2024-12-09 14:23:54.765942+00","D80C",1,1,0
"19e9fbc4-13e8-42ae-882d-000ef8dc18f0","2024-12-09 14:44:54.835779+00","D80C",3,1,2
"1f72fe4b-5e47-426a-a10a-62ec79577d1f","2024-12-09 14:58:54.881973+00","D80C",1,1,0
"1027fd7f-941a-46cc-a97c-f806fdef7e35","2024-12-09 14:59:54.891882+00","D80C",1,0,1
"036641b1-759c-43ae-a10b-1fd8686c0d32","2024-12-09 15:04:24.912956+00","D80C",2,1,1
"7879b8d1-6830-4d7f-8671-2022cc805d7a","2024-12-09 15:05:24.923345+00","D80C",2,1,1
"371e5e09-3a04-4792-bf3a-df96a4ba7ea8","2024-12-09 15:11:54.949382+00","D80C",2,1,1
"a546684d-1e33-42e2-8e92-5f86dabcc880","2024-12-09 15:31:55.009445+00","D80C",1,1,0
"1474f67a-ed87-400e-b5c0-76fb6e5aa2c4","2024-12-09 15:33:25.023818+00","D80C",1,0,1
"d0a8b2f6-9925-4f24-8560-1018e5d6ce74","2024-12-09 15:41:55.057766+00","D80C",1,1,0
"461fa2b2-238c-4ad4-bf4a-b2e09912cfdd","2024-12-09 15:42:55.071252+00","D80C",2,0,2
"0c209582-46f2-46d2-b752-ef9168005840","2024-12-09 15:43:55.082563+00","D80C",2,1,1
"4b7bec3a-0e67-4638-8734-f159dab5e9c1","2024-12-09 15:44:55.093688+00","D80C",2,1,1
"c5932e0c-5871-46bb-8c4e-ae58c6a85d90","2024-12-09 15:46:55.108728+00","D80C",1,1,0
"55b149b0-e736-47ef-b142-ba18d65ad989","2024-12-09 15:48:25.121279+00","D80C",1,0,1
"881cbcb1-f6b9-4807-af1b-7dcc5bc55f78","2024-12-09 15:59:25.160723+00","D80C",2,1,1
"6749bf6f-2957-4098-a891-a2f114048b9b","2024-12-09 16:12:25.20038+00","D80C",2,1,1
"2e5fdb9d-5630-4ce3-a7b0-a590c2bfb724","2024-12-09 16:21:25.230615+00","D80C",1,1,0
"c9f57f5a-d058-403d-8e78-0bd0f99f7085","2024-12-09 16:23:25.245687+00","D80C",1,0,1
"c00efc84-b1ef-46c1-9db4-8c0f30aeb02f","2024-12-09 16:25:55.262823+00","D80C",2,1,1
"39f7ed93-dbd4-40fa-a14a-b7d5fbd1188f","2024-12-09 16:30:55.28394+00","D80C",1,1,0
"b8420be5-c505-4d74-acd7-05b2a0f43353","2024-12-09 16:31:25.291307+00","D80C",2,1,1
"c12edfc5-2442-4841-9988-e25ec2873292","2024-12-09 16:39:55.320578+00","D80C",1,0,1
"1da7e2e3-18e8-45e7-b0af-92210db2fbca","2024-12-09 16:43:25.338726+00","D80C",2,1,1
"17e1eb2b-173d-4adc-870f-873c10ec20ad","2024-12-09 16:43:55.347017+00","D80C",2,2,0
"7eb099e2-eee4-45f6-b437-814a95316f6e","2024-12-09 16:46:25.36124+00","D80C",1,0,1
"75336359-c320-4845-95a1-b49c7de4a052","2024-12-09 16:48:25.373784+00","D80C",3,1,2
"a47f4664-7ad7-422f-9834-d12871051a86","2024-12-09 16:49:25.383092+00","D80C",3,1,2
"630a8a8c-a629-496e-baeb-56e4c73d39ba","2024-12-09 17:02:55.431519+00","D80C",2,1,1
"e475cd0c-9efc-40a8-9c94-de955266ec06","2024-12-09 17:03:25.440179+00","D80C",2,1,1
"7db1bdc6-7f7a-42fa-bf37-db6fef6c816b","2024-12-09 17:22:55.498193+00","D80C",2,1,1
"64a9d996-98ba-4008-89c1-8560aa567033","2024-12-09 17:23:25.507582+00","D80C",1,1,0
"e57d5de6-ba84-495d-9bbe-b0e2dc0728b0","2024-12-09 17:23:55.515226+00","D80C",1,0,1
"913481b8-fadb-4a6b-8e36-e19b5204bfe4","2024-12-09 17:26:25.53086+00","D80C",1,1,0
"67499c01-847c-40f2-9db8-360ba861d753","2024-12-09 17:26:55.540583+00","D80C",1,1,0
"271856e4-4f66-4870-bc85-e7e5d99ea5a5","2024-12-09 17:28:25.550879+00","D80C",2,1,1
"596e1664-befb-4cba-a00c-77f080a56e01","2024-12-09 17:30:25.564821+00","D80C",1,0,1
"e323f89b-ad57-415b-a928-757c670cd2e5","2024-12-09 17:31:25.57591+00","D80C",1,1,0
"86a039fc-2346-48cb-8223-7bba1bfa8c50","2024-12-09 17:33:55.589834+00","D80C",1,0,1
"a4d3270a-af03-4b0c-b206-9f7567d5c1b4","2024-12-09 17:37:25.604048+00","D80C",1,0,1
"4eb161dd-e00a-4877-b702-d87c325315f5","2024-12-09 17:39:25.615529+00","D80C",2,1,1
