id,timestamp,sensor_id,traversed,entered,exited
d7460ba1-500c-4b79-afb4-3a0ca6334c49,2024-12-12 07:56:02.363317+00,D80C,1,1,0
3b3aa1e4-2160-4fb1-9f7f-6f2ce3f68c4b,2024-12-12 07:57:02.38488+00,D80C,1,0,1
e3ed8e60-b8b8-4fc0-a154-26bfe505be3d,2024-12-12 08:48:52.827862+00,D80C,1,1,0
0646eb43-1df1-4a09-8b0e-543ae885f5ee,2024-12-12 08:49:02.836347+00,D80C,1,0,1
784156f1-be00-471b-8574-f93fba0f35f3,2024-12-12 08:55:32.893855+00,D80C,2,1,1
f57be204-6162-4d32-adba-936dcf920bfb,2024-12-12 08:56:02.907676+00,D80C,1,1,0
fccdd6ff-585a-47e0-80d7-38af986eb7da,2024-12-12 08:57:12.924469+00,D80C,1,0,1
0780524d-873a-4505-b713-0554f6093c66,2024-12-12 08:57:52.937899+00,D80C,1,1,0
a41a3cd2-d1a5-4db2-9d74-e7d436d2c3cf,2024-12-12 08:58:02.945893+00,D80C,1,0,1
69d33bcf-6016-4d43-aba9-f974a2557f2d,2024-12-12 09:04:33.011938+00,D80C,1,1,0
2f0a0d5b-e672-4b62-820c-29785f093950,2024-12-12 09:04:43.020342+00,D80C,1,0,1
a5655586-6a4d-42fe-a094-d193cc2ecbb3,2024-12-12 09:06:43.044793+00,D80C,2,1,1
d8a2d733-525e-47f6-80c8-a305e15845bf,2024-12-12 09:06:53.052819+00,D80C,1,0,1
c3f64c08-b133-4ba0-bffd-593dcaf0c721,2024-12-12 09:10:13.084772+00,D80C,1,1,0
edcb7410-299a-43e3-b344-74d6052c4542,2024-12-12 09:19:13.169695+00,D80C,2,1,1
6e40029b-ada8-499e-8773-2b6d6bb35894,2024-12-12 09:19:23.179745+00,D80C,1,0,1
e10b6451-6da1-430f-854e-f509b1cd1866,2024-12-12 09:32:03.297537+00,D80C,2,1,1
dddc4a15-a873-4288-a2b6-94bfa918ec5e,2024-12-12 09:44:03.39735+00,D80C,2,1,1
f45eb9be-0cd7-4289-a0e1-67f5a2c0698f,2024-12-12 09:47:23.439526+00,D80C,1,1,0
7973d2a7-4df8-4b57-abdc-2c75f9f9619e,2024-12-12 09:47:33.447268+00,D80C,1,0,1
31ba4840-0ea9-4003-a55f-14e5c9def5bf,2024-12-12 09:48:43.464525+00,D80C,2,1,1
bc37844a-ecb7-4b34-8781-4b9f80c49702,2024-12-12 09:53:53.512754+00,D80C,1,1,0
6b5d1057-749c-42f2-987a-2ea65ffc742a,2024-12-12 09:54:13.520679+00,D80C,1,0,1
9869ec06-069c-4818-9dc3-78e10ad6138e,2024-12-12 09:59:03.566477+00,D80C,1,1,0
ee031105-f00d-4d9c-93fa-b3de003e5dd2,2024-12-12 09:59:13.595926+00,D80C,1,0,1
a614ed04-c051-4425-a9e9-e736684502d0,2024-12-12 10:01:03.618155+00,D80C,2,1,1
2688cf79-3057-4a02-807f-b39d17aee0f2,2024-12-12 10:01:13.624783+00,D80C,2,1,1
